MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
170622199,330  Quaker Farms Rd.,Oxford,ACTV,02/08/2024,,1.93,2911,2911,9,4,2/1,"2 Car Garage, Detached Garage",1750,19,None,243300,"Private, Paved",500000,5963,RESA,,,,No,,No,Per Board of Ed,Per Board of Ed,"Library, Medical Facilities, Park",No,No,Not Applicable,,Split System,"Radiator, Zoned","Electric, Oil",Per Board of Ed,,Per Board of Ed,,,
170527369,"22  West Main St. , Unit# 10",Groton,ACTV,10/12/2022,CO,,1750,1750,6,2,2/1,"0 Car Garage, 2 Total Spaces, Assigned Parking, Off Street Parking",2022,503,Elevator,0,,1950000,0,MDD,"32' Minimum Door Widths, Exterior Curb Cuts, Hallways 36+ Inches Wide","Extra Insulation, Generator, Programmable Thermostat, Thermopane Windows",954,Yes,Monthly,No,Fitch Senior,Per Board of Ed,"Golf Course, Library, Medical Facilities, Paddle Tennis, Private Rec Facilities, Public Rec Facilities, Shopping/Mall, Tennis Courts",No,Yes,"Direct Waterfront, River, Dock or Mooring, View",,"Central Air, Zoned","Hydro Air, Zoned",Propane,,"Balcony, Covered Deck, Lighting, Sidewalk",Per Board of Ed,,,
170604351,117  Thunderbird Dr.,Naugatuck,ACTV,01/08/2024,,0,812,812,4,2,1/0,"0 Car Garage, Driveway, Paved, Off Street Parking",2022,66,"Basketball Court, Club House, Pool",17990,Paved,114999,859,RA1,,,480,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Golf Course, Lake, Park, Public Transportation",Yes,No,Not Applicable,,None,Gas on Gas,Propane,Per Board of Ed,,Per Board of Ed,,,
170528991,"22  West Main St. , Unit# 6",Groton,ACTV,10/12/2022,CO,,1750,1750,6,2,2/1,"0 Car Garage, 2 Total Spaces, Assigned Parking, Off Street Parking",2022,503,Elevator,0,,2050000,0,MDD,"32' Minimum Door Widths, Exterior Curb Cuts, Hallways 36+ Inches Wide, Ramps","Extra Insulation, Generator, Programmable Thermostat, Thermopane Windows",954,Yes,Monthly,No,Fitch Senior,Per Board of Ed,"Golf Course, Library, Medical Facilities, Paddle Tennis, Private Rec Facilities, Public Rec Facilities, Shopping/Mall, Tennis Courts",No,Yes,"Direct Waterfront, River, Dock or Mooring, View",,Central Air,"Hydro Air, Zoned",Propane,,"Balcony, Covered Deck, Lighting, Sidewalk",Per Board of Ed,,,
170625867,11  Thamesview Pntwy.,Ledyard,NEW,02/22/2024,,2,1800,1200,8,4,3/0,"2 Car Garage, 4 Total Spaces, Under House Garage",2024,5,,0,Gravel,459900,0,R40,,Thermopane Windows,,No,,No,Ledyard,Per Board of Ed,"Library, Park, Public Pool, Public Rec Facilities, Shopping/Mall",No,No,"Access, River",,Central Air,Gravity Warm Air,Propane,Per Board of Ed,"Deck, Gutters",Per Board of Ed,,,
170527091,"22  West Main St. , Unit# 5",Groton,ACTV,10/12/2022,CO,,1750,1750,6,2,2/1,"0 Car Garage, 2 Total Spaces, Paved, Parking Lot",2022,503,"Elevator, Guest Parking",0,,2150000,0,MDD,"32' Minimum Door Widths, Exterior Curb Cuts, Hallways 36+ Inches Wide, Ramps","Extra Insulation, Generator, Programmable Thermostat, Thermopane Windows",954,Yes,Monthly,No,Fitch Senior,Per Board of Ed,"Library, Medical Facilities, Park, Playground/Tot Lot, Private Rec Facilities, Public Rec Facilities",No,Yes,"Direct Waterfront, River, Dock or Mooring, View",,Central Air,"Hydro Air, Zoned",Propane,,"Balcony, Covered Deck, Lighting, Sidewalk",Fitch,,,
170607704,6  Upson Pl.,Southington,ACTV,11/03/2023,,0.52,2600,2600,7,4,2/1,"2 Car Garage, Attached Garage",2024,116,,0,"Private, Paved",769900,0,R-20/25,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,Heat Pump,"Oil, Propane",,,,,,
170357554,"160  Park St. , Unit# 203",New Canaan,ACTV,12/01/2020,CO,,1240,1240,4,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot",800380,,1405000,15159,APT,,,1089,Yes,Monthly,No,New Canaan,South,"Library, Medical Facilities, Paddle Tennis, Park, Public Pool, Public Rec Facilities, Public Transportation, Stables/Riding",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Gazebo, Lighting, Sidewalk, Terrace",Saxe Middle,,,
170623501,7  Drum Rd.,Norwalk,ACTV,02/07/2024,,0.23,3671,2772,9,4,3/0,"2 Car Garage, Detached Garage",1951,20,,1009780,"Private, Paved",2850000,24159,B,,,,No,,No,Per Board of Ed,Rowayton,"Golf Course, Library, Medical Facilities, Paddle Tennis, Playground/Tot Lot, Tennis Courts",No,No,"Beach, Walk to Water",,Central Air,"Hot Air, Hydro Air, Zoned",Oil,,"Breezeway, Gutters, Patio, Porch",,,,
170357553,"160  Park St. , Unit# 202",New Canaan,ACTV,12/01/2020,CO,,2402,2402,6,3,3/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot",1538390,,2975000,29137,APT,,,2110,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Public Transportation, Tennis Courts",No,No,Not Applicable,11/29/2023,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk, Terrace",Saxe Middle,,,
170599172,14  Pumpkin Grv.,East Lyme,ACTV,09/19/2023,,0.74,2850,2850,12,4,2/1,"3 Car Garage, Attached Garage",2023,161,,0,,985000,0,R40,,,70,Yes,Monthly,No,East Lyme,Lillie B. Haynes,,No,No,Not Applicable,,Central Air,Hot Air,Propane,,,,,,
170623477,80  Bartlett Ln.,Stamford,ACTV,02/08/2024,,1.27,5691,5691,12,5,4/1,"2 Car Garage, Attached Garage",2021,19,,1275170,,2295000,31191,RA1,,"Extra Insulation, Generator Ready, Programmable Thermostat, Thermopane Windows",,No,,No,Stamford,Davenport Ridge,Park,No,No,Not Applicable,,"Central Air, Zoned","Hot Air, Radiant, Zoned","Electric, Propane",,"Deck, Gutters, Lighting, Patio, Stone Wall",Rippowam,,,
24000119,"236  Brooks St. , Unit# 236",Bridgeport,NEW,02/27/2024,CO,,1000,1000,6,3,1/0,"0 Car Garage, 1 Total Spaces, None, Off Street Parking, Assigned Parking",1920,8,,41030,,195000,1783,B1,,,205,Yes,Monthly,No,Warren Harding,Barnum,,No,No,,,Central Air,Hot Air,Natural Gas,,,,,,
170606277,169 S. Main St.,Suffield,ACTV,11/14/2023,,0.86,2103,2103,8,5,1/1,"4 Car Garage, 8 Total Spaces, Detached Garage, Barn, Paved",1900,105,None,227150,"Private, Paved",450000,6499,R25,,,,No,,No,Suffield,A. Ward Spaulding,"Basketball Court, Golf Course, Library, Paddle Tennis, Playground/Tot Lot, Private School(s), Public Rec Facilities, Tennis Courts",No,No,Not Applicable,11/14/2023,None,Hot Air,Oil,McAlister,"Barn, Deck, Garden Area, Gutters, Porch-Wrap Around, Sidewalk",Suffield,,,
170622516,389  Orchard St.,New Haven,ACTV,02/03/2024,,0.07,1376,1376,6,3,1/0,"0 Car Garage, 0 Total Spaces, Paved",1900,24,,79380,Private,349000,2953,RM2,,,,No,,No,Per Board of Ed,Per Board of Ed,"Public Transportation, Walk to Bus Lines",No,No,Not Applicable,02/03/2024,Window Unit,Other,Electric,Per Board of Ed,,Per Board of Ed,,,
170611965,14  Lanthorne Rd.,Monroe,ACTV,11/27/2023,,1.1,2913,2913,9,3,3/0,"3 Car Garage, Under House Garage, Paved",1963,92,None,314200,Paved,899000,11798,RF1,,Thermopane Windows,,No,,No,Masuk,Per Board of Ed,"Basketball Court, Golf Course, Health Club, Lake, Library, Playground/Tot Lot, Shopping/Mall, Tennis Courts",Yes,No,Not Applicable,,"Central Air, Zoned","Baseboard, Zoned",Oil,,"Gazebo, Gutters, Patio",Jockey Hollow,"In Ground Pool, Heated, Vinyl",,
24000118,"207  Misty Meadow Ln. , Unit# 207",South Windsor,NEW,02/27/2024,CO,,842,842,4,1,1/0,"0 Car Garage, None",1984,1,,93200,,170000,3089,MFA,,,244,Yes,Monthly,No,South Windsor,Per Board of Ed,,Yes,No,,,Central Air,Hot Air,Electric,,,,In Ground Pool,,
170611112,8  Homewood Ln.,Darien,ACTV,11/27/2023,,1.36,6882,6685,14,5,6/3,"3 Car Garage, Attached Garage",2022,92,,1797810,"Private, Paved, Asphalt",7950000,31659,R-1,,"Energy Star Rated, Generator, Programmable Thermostat",2000,Yes,Annually,No,Darien,Tokeneke,,No,No,Not Applicable,,Central Air,Hot Air,Propane,,"Deck, French Doors, Gutters, Lighting, Patio, Shed, Underground Sprinkler",Middlesex,,,
170622628,9  Fox Run.,Wilton,ACTV,02/09/2024,,2.99,4381,3481,9,4,2/2,"2 Car Garage, Attached Garage",1985,18,None,581280,Paved,1598000,17008,R-2,,,,No,,No,Wilton,Miller-Driscoll,"Basketball Court, Health Club, Library, Medical Facilities, Park, Tennis Courts",No,No,Not Applicable,02/09/2024,Central Air,Baseboard,Oil,Cider Mill,"Deck, French Doors, Gutters, Stone Wall",Middlebrook,,,
170605921,37  School St,Stonington,ACTV,10/27/2023,,0.37,2400,2400,14,3,2/1,"0 Car Garage, Off Street Parking, On Street Parking",1900,123,,224500,,1095000,4313,RH-10,,Thermopane Windows,,No,,No,Stonington,Deans Mill,,No,No,"Access, River",,Central Air,Hot Air,Electric,,,Stonington,,,
170357527,"180  Park St. , Unit# 201",New Canaan,ACTV - UA,12/01/2020,CO,,1500,1500,5,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot",913150,,1695000,17295,APT,,,1318,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Public Transportation, Tennis Courts",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk, Terrace",Saxe Middle,,,
170623903,26  Morningside Dr. S.,Westport,ACTV,02/09/2024,,0.829,9035,6835,17,7,7/1,"3 Car Garage, Attached Garage",2024,18,,99999999,"Private, Paved",4375000,99999999,.5,,,,No,,No,Staples,Greens Farms,"Golf Course, Private School(s), Public Pool, Shopping/Mall",No,No,"Water Community, Beach Rights",,Central Air,"Gas on Gas, Hot Air",Natural Gas,,,,,,
170609457,"1900 N. Broad St. , Unit# 19",Meriden,ACTV,01/29/2024,,0,912,912,5,3,1/0,"0 Car Garage, 2 Total Spaces, Driveway",1973,93,Guest Parking,21770,Other,83900,757,res,,Thermopane Windows,450,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Medical Facilities, Public Transportation, Shopping/Mall",No,No,Not Applicable,,None,Hot Air,Propane,Per Board of Ed,Porch,Per Board of Ed,,,
170619674,1230 S. Pine Creek Rd.,Fairfield,NEW,02/22/2024,,0.48,4181,4181,12,4,4/2,"2 Car Garage, Attached Garage",1997,5,,792680,,1999000,21807,R3,,"Generator, Programmable Thermostat",,No,,No,Fairfield Ludlowe,Mill Hill,"Golf Course, Health Club, Library, Park, Playground/Tot Lot, Public Transportation, Shopping/Mall, Tennis Courts",Yes,No,,,"Central Air, Heat Pump, Zoned",Hot Air,Natural Gas,,"Porch-Screened, Underground Utilities, Porch, Gutters, Hot Tub, Stone Wall, Underground Sprinkler, Patio",Roger Ludlowe,Above Ground Pool,,
170357549,"160  Park St. , Unit# 103",New Canaan,ACTV,12/01/2020,CO,,1240,1240,4,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot",800380,,1375000,15159,APT,,"Programmable Thermostat, Thermopane Windows",1089,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Public Transportation, Tennis Courts",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk, Terrace",Saxe Middle,,,
170610769,8  Hemingway Pl.,New Haven,ACTV,11/20/2023,,0.4,2136,2136,8,4,3/0,"2 Car Garage, Detached Garage",1950,99,None,204610,Paved,390000,7611,RS2,,Thermopane Windows,,No,,No,Per Board of Ed,Per Board of Ed,"Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,11/20/2023,Central Air,Gravity Warm Air,Natural Gas,Per Board of Ed,"Deck, Patio, Wrap Around Deck",Per Board of Ed,,,
170357530,"180  Park St. , Unit# 204",New Canaan,ACTV,11/20/2023,CO,,1236,1236,4,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot",798490,,1525000,15123,APT,,"Programmable Thermostat, Thermopane Windows",1086,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Public Transportation, Tennis Courts",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors",Saxe Middle,,,
170601595,21  Heron Pond Rd.,Essex,ACTV,10/03/2023,,1.32,2200,2200,8,3,2/1,"2 Car Garage, Attached Garage, Off Street Parking",2023,147,,118700,"Private, Crushed Stone",999900,2689,RES,,"Programmable Thermostat, Thermopane Windows",,No,,No,Per Board of Ed,Essex,"Golf Course, Health Club, Library, Medical Facilities, Public Rec Facilities, Shopping/Mall",No,Yes,"Pond, Walk to Water",,Central Air,Hot Air,Propane,Per Board of Ed,Deck,Per Board of Ed,,,
170624966,127  Old Common Rd.,Wethersfield,ACTV,02/27/2024,,0.35,4658,4008,10,4,2/2,"2 Car Garage, Attached Garage",1977,6,,332330,"Private, Paved",599900,13885,AAOS,,Generator,,No,,No,Wethersfield,Highcrest,"Golf Course, Health Club, Library, Medical Facilities, Park, Shopping/Mall, Tennis Courts",No,No,Not Applicable,,"Ceiling Fans, Central Air","Baseboard, Hot Air",Oil,,"Awnings, Deck, Gutters, Lighting, Sidewalk, Underground Utilities",Per Board of Ed,,,
170607804,291 S. Main St.,Seymour,ACTV,11/08/2023,,0.15,1344,1344,6,2,2/0,"1 Car Garage, Detached Garage",1910,111,,122010,Paved,375000,4390,R-18,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,11/08/2023,None,Baseboard,Oil,,Porch,,,,
170357535,"180  Park St. , Unit# 302",New Canaan,ACTV,12/01/2020,CO,,1429,1429,5,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Playground/Tot Lot, Security Services",883540,,1595000,16734,APT,,Thermopane Windows,1255,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Public Transportation",No,No,Not Applicable,01/09/2024,"Central Air, Zoned",Gas on Gas,Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk",Saxe Middle,,,
170599072,0  White Pine Road Rd.,Torrington,ACTV,09/20/2023,,0.578,1550,1550,4,2,2/0,"2 Car Garage, 6 Total Spaces, Attached Garage, Driveway",2023,160,,0,Private,399900,0,RESIDENTIAL,,"Home Energy Rating, Extra Insulation, Thermopane Windows",,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Propane,Per Board of Ed,"Deck, Gutters, Porch",Per Board of Ed,,,
170615301,44  Spring St.,Ansonia,NEW,02/21/2024,,0.29,1085,1085,6,3,1/0,"0 Car Garage, Attached Garage",1950,6,,144480,Paved,249900,3791,A,,,,No,,No,Ansonia,Per Board of Ed,,No,No,Not Applicable,,None,Hot Air,"Natural Gas, Oil",,,,,,
170609620,118  Beeney Rd.,New Hartford,ACTV,11/10/2023,,9.9,2916,2916,10,5,2/0,"2 Car Garage, Under House Garage",1982,109,,267610,,475000,8836,R2,,,,No,,No,Regional District 7,Bakerville Consolidated,,No,No,Not Applicable,02/13/2024,Ceiling Fans,Hot Air,Oil,,"Deck, Shed",,,,
170562583,"0  Country Ln. , Unit# 119",Berlin,ACTV,04/14/2023,CO,,1131,1131,4,1,1/1,"2 Car Garage, Attached Garage",2023,319,,0,,359900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
170610243,32 S. Lake Shore Dr.,Brookfield,ACTV,11/13/2023,,0.19,1184,1184,5,3,2/0,"2 Car Garage, Detached Garage",1940,106,,816000,"Private, Asphalt",1295000,21918,R-7,,Storm Windows,1354,Yes,Annually,No,Brookfield,Per Board of Ed,"Basketball Court, Lake, Park, Playground/Tot Lot",No,Yes,"Direct Waterfront, Dock or Mooring",02/23/2024,Central Air,Hot Air,Oil,Huckleberry,Deck,Whisconier,,,
170623123,15  Rimmon Rd.,Woodbridge,ACTV,02/07/2024,,1.14,2131,2131,9,4,2/0,"1 Car Garage, Detached Garage",1937,20,,194810,"Circular, Paved, Crushed Stone",549000,8602,A,,Thermopane Windows,,No,,No,Amity Regional,Beecher Road,"Golf Course, Health Club, Library, Medical Facilities, Playground/Tot Lot, Public Pool, Tennis Courts",No,No,Not Applicable,02/26/2024,"Central Air, Split System","Hot Air, Radiant","Electric, Oil",,"Patio, Porch",Amity,,,
170605951,57  Evergreen Ave.,Westport,ACTV,10/23/2023,,1.17,6000,5000,13,6,5/1,"3 Car Garage, Detached Garage",1920,127,,624300,"Asphalt, Crushed Stone",3794000,11456,A,,"Extra Insulation, Thermopane Windows",,No,,No,Staples,Saugatuck,,Yes,No,Beach Rights,,Central Air,Zoned,Oil,,"Balcony, Garden Area, Guest House, Lighting, Patio, Stone Wall, Terrace, Underground Utilities",Bedford,"In Ground Pool, Heated, Gunite, Solar Cover",,
170562821,"0  Country Ln. , Unit# 114",Berlin,ACTV,04/14/2023,CO,,1374,1374,5,2,2/0,"1 Car Garage, Attached Garage",2023,319,,0,,389900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
170610665,1  Fenner Ln.,Stonington,ACTV,11/22/2023,,3.21,5272,4388,10,4,3/3,"3 Car Garage, Attached Garage, Under House Garage",1992,97,,851700,"Private, Cement, Crushed Stone",1190000,15467,RR-80,,Thermopane Windows,,No,,No,Stonington,Deans Mill,"Library, Shopping/Mall, Tennis Courts",No,No,Not Applicable,,"Central Air, Heat Pump, Zoned","Heat Pump, Hydro Air","Electric, Propane",Per Board of Ed,"Gutters, Lighting, Patio, Porch, Stone Wall, Underground Utilities",Per Board of Ed,,,
170622703,27  Corey Ln.,East Lyme,ACTV,02/09/2024,,0.46,1548,1092,7,3,2/0,"1 Car Garage, Under House Garage, Paved, Off Street Parking",1965,18,,184590,"Private, Paved",399900,4593,R40,,,,No,,No,East Lyme,Per Board of Ed,"Library, Medical Facilities, Park, Shopping/Mall",No,No,Not Applicable,,Window Unit,"Baseboard, Hot Water",Oil,Per Board of Ed,"Deck, Gutters, Shed",Per Board of Ed,,,
170613325,35  Hidden Spring Dr.,Weston,ACTV,12/11/2023,,3.56,4825,4825,9,5,4/2,"3 Car Garage, Attached Garage",2023,78,,210560,Asphalt,2100000,6961,Zone A,,Thermopane Windows,500,Yes,Annually,No,Weston,Hurlbutt,"Golf Course, Library, Medical Facilities, Park, Public Rec Facilities, Shopping/Mall, Tennis Courts",No,No,Not Applicable,,Central Air,Hot Air,Propane,,"Deck, Underground Utilities",Weston,,,
170562817,"0  Country Ln. , Unit# 124",Berlin,ACTV,04/14/2023,CO,,1208,1208,4,1,1/1,"2 Car Garage, Attached Garage",2023,319,,0,,369900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
170613551,585  Goodwin St.,East Hartford,ACTV,12/05/2023,,0.35,1290,1290,5,3,1/0,"2 Car Garage, 3 Total Spaces, Attached Garage, Off Street Parking",1958,84,None,152720,Asphalt,279900,6497,R-2,,,,No,,No,East Hartford,Per Board of Ed,Golf Course,No,No,Not Applicable,01/21/2024,None,Baseboard,Oil,,,,,,
170623979,148 N. Lake Shore Dr.,Brookfield,NEW,02/14/2024,,0.33,2888,2888,7,4,4/0,"2 Car Garage, 4 Total Spaces, Attached Garage, Paved, Off Street Parking",2024,15,"Basketball Court, Playground/Tot Lot",99999999,"Private, Paved",2995000,99999999,R-7,,Extra Insulation,,No,,No,Brookfield,Center,"Basketball Court, Lake, Park, Playground/Tot Lot, Tennis Courts",No,Yes,"Direct Waterfront, Lake, Dock or Mooring, Water Community",,Central Air,"Hot Air, Zoned",Propane,Candlewood,"Covered Deck, Deck, Lighting, Patio, Stone Wall, Underground Sprinkler",Whisconier,,,
170609498,10  Reynolds Ave.,Stamford,ACTV,11/29/2023,,0.13,1151,1151,5,2,2/0,"1 Car Garage, Detached Garage, Unpaved, Off Street Parking",1922,90,,308240,,599999,7780,R6,,"Extra Insulation, Programmable Thermostat, Ridge Vents, Storm Doors",,No,,No,Westhill,Stillmeadow,"Basketball Court, Bocci Court, Golf Course, Medical Facilities, Park, Playground/Tot Lot, Tennis Courts, Walk to Bus Lines",No,No,"Beach Rights, Not Applicable",,"Window Unit, None","Baseboard, Radiator",Natural Gas,,"Covered Deck, Gutters, Lighting, Porch",Cloonan,,,
170562818,"0  Country Ln. , Unit# 125",Berlin,ACTV,04/14/2023,CO,,1798,1798,6,3,2/1,"2 Car Garage, Attached Garage",2023,319,,0,,439900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
